Year  Speed  Power  Accel
1930     60     25    0.2
1933     65     33   0.19
1936     70     46   0.17
1938     72     53   0.15
1940     70     60   0.14
1942     82     67   0.12
1944     87     74   0.11
1946     95     81   0.09
1948     94     88  0.080
1950     88     95  0.072
1952     99    102  0.069
1954    103    109  0.068
1956    106    116  0.055
1958    109    123   0.04
1960    113    130   0.03
1962    118    137  0.027
1964    117    144  0.025
1966    130    151  0.022
1968    128    158  0.021
1970    127    165  0.022
1972    141    172   0.02
1974    138    179  0.018
1976    144    186  0.019
1978    146    193  0.017
1980    141    200  0.016
1982    153    207  0.016
1984    158    214  0.015
1986    161    221  0.015
1988    166    228  0.014
1990    160    235  0.014
1992    170    242  0.013
1994    170    249  0.013
1996    179    256  0.012
1998    181    263  0.012
2000    180    270  0.012
2002    194    277   0.01
2004    192    284  0.011
2006    198    291   0.01
2008    195    295   0.01
2010    200    300   0.01
